'বিহুরে লগন মধুরে লগন';'আ..আআ…
 রাং বইলে তোর জ্ঞান হইল না, ওরে দিনকানা
 ওরে উপাসনা বিনে কি তোর মিলিবে রে রুপাসোনা
 গুরু তোরে কী ধন দিল চিনলি না মনা
 তোরে রাং দিল কি সোনা দিল

চণ্ডীদাস আর রজকিনী
 তারা প্রেমের শিরোমণি, রাং কইরাছে সোনা
 তারা এক প্রেমেতে দুইজন মইলো, এমন মরে কয়জনা
 গুরু তোরে কী ধন দিল চিনলি না মনা
 তোরে রাং দিল কি সোনা দিল, তুই পরখ কইরে দেখলি না
 গুরু তোরে কী ধন দিল চিনলি না …';'স্বাগত দে';'পল্লীগীতি';'0'
'আগে জানি না রে দয়াল';'পীড়িতি পীড়িতি বিষম পীড়িতি
 পীড়িতি করে যে জনে।

দয়াল তোমারও সনে পীড়িতি করিয়া
 তোমারও সনে দয়াল পীড়িতি করিয়া
 কান্দিতে জনম গেল রে

আগে জানি না রে দয়াল
 তোর পীড়িতে পরাণ যাবে

আঙ্গুল কাঁটিয়া কলম বানাইয়া
 নয়নের জলে করলাম কালি।

দয়াল হৃদয় চিড়িয়া লিখন লিখিয়া।
 পাঠাইলাম বন্ধুর বাড়িরে
 আগে জানি না রে দয়াল
 তোর পীড়িতে পরাণ যাবে

সাগর সেচিলাম নগর মাগিলাম
 মনিক পাইবার আশে।

দয়াল সাগর শুকালো মানিক লুকালো।
 আপন কপালের দোষেরে
 আগে জানি না রে দয়াল
 তোর পীড়িতে পরাণ যাবে।।';'তাজুল ইমাম';'জসীম উদ্দীন';'0'
'আমি বাংলা মায়ের ছেলে';'আমি বাংলা মায়ের ছেলে
 জীবন আমার ধন্য যে হায়
 জন্ম বাংলা মায়ের কোলে
 বাংলা মায়ের ছেলে
 আমি বাংলা মায়ের ছেলে

বাংলা মায়ের মুখের হাসি
 প্রাণের চেয়েও ভালোবাসি
 মায়ের হাসি পূর্ন শশী- রত্ন-মানিক জ্বলে।

মায়ের তুলনা কি আর ধরণীতে মিলে
 মা আমার শস্য-শ্যামলা সুশোভিত ফলে ফুলে
 বাংলা মায়ের ছেলে, আমি বাংলা মায়ের ছেলে

গাছে গাছে মিষ্ট ফল, মাঠে ফলে সোনার ফসল
 রয়েছে সুশীতল জল, নদী-নালা খালে-বিলে।

কোকিল ডাকে কুহ স্বরে, বুলবুল নাচে ডালে
 শুক-সারী গান গায় মা যেন থাকেন কুশলে
 বাংলা মায়ের ছেলে, আমি বাংলা মায়ের ছেলে

বাউল আব্দুল করিম বলে, জীবন লীলা সাঙ্গ হলে
 শুয়ে থাকবো মায়ের কোলে, তাপ-অনুতাপ ভুলে।

মাকে ভুলে না মায়ের খাঁটি সন্তান হলে
 মা বিনে আর কে আছে কার, সুখে-দুখে মা-মা বলে
 বাংলা মায়ের ছেলে, আমি বাংলা মায়ের ছেলে।।';'রুহি ঠাকুর';'শাহ আব্দুল করিম';'0'
'বহু দিনের পিরিত গো বন্ধু';'বহু দিনের পিরিত গো বন্ধু
 একই দিনে ভেঙো না।।

এই যে রে ভাই বংশিওয়ালা
 বাজাও বাশী দুপুর বেলা আরো একেলা

তোমার বাশীর সুরে মন হরে গো।
 ঘরে রইতে দিল না।।

মাতা মইলো, পিতা রে মইলো
 গুণের ভাই ছাড়িয়া রে গেল, সঙ্গে নিল না

আমি কী দোষ দিব পরের পুতের গো।
 আপন কর্ম ভালো না।।

বন্ধু আমার আলারে ভোলা
 না জানি পীড়িতের জ্বালা আরো একেলা

সে যে আসি বলে গেল চইলে গো।
 আর তো ফির আইলো না।।';'আব্দুল আলীম';'পল্লীগীতি';'0'
'কেনবা তারে সপে দিলাম প্রাণ';'কেনবা তারে সপে দিলাম দেহ মন প্রাণ।
 প্রান সখীরে কেনবা তারে সপে দিলাম দেহ মন প্রাণ।।

তারে প্রাণ সপিয়া হইলেম অপমান।
 প্রান সখীরে কেনবা তারে সপে দিলাম প্রাণ
 প্রান সখীরে কেনবা তারে সপে দিলাম দেহ মন প্রাণ

আগে যদি জানতাম মনে
 যাইতাম না তার নয়ন কোণে
 মর্মস্থলে হানে পঞ্চবান, প্রান সখীরে।

ও তার বানে কত শক্তি ধরে
 সাধ্য কী আর রইতে ঘরে

বানে বিদ্ধ করে অবলার প্রাণ।
 প্রান সখীরে কেনবা তারে সপে দিলাম প্রাণ
 প্রান সখীরে কেনবা তারে সপে দিলাম দেহ মন প্রাণ।।

সে যেন কী মন্ত্র জানে শুকরিয়া বাঁশীর তানে
 শুনলে কানে হইতে হয় অজ্ঞান, প্রান সখীরে।
 কেন তারে করিস না মানা সময় চিনে কেন বাঁশী বাজায় না

আমার প্রেম যমুনায় বহিছে উজান।
 প্রান সখীরে কেনবা তারে সপে দিলাম প্রাণ
 প্রান সখীরে কেনবা তারে সপে দিলাম দেহ মন প্রাণ।।';'আব্দুল আলীম';'পল্লীগীতি';'0'
'দোল দোল দোলনী রাঙা মাথার চিরুনী';'দোল দোল দোলনী রাঙা মাথার চিরুনী
 এনে দেব হাট থেকে মান তুমি মরো না

নতুন নতুন খোপাটি তুলে এনে দোপাটি
 রাঙা ফিতায় বেধে দিবো মান তুমি করো না।।

চেয়ে দেখ ডালিম ফুলে ঐ জমেছে মৌ
 বউ কথা কও ডাকছে পাখি, কয় না কথা বউ।

ঝুমঝুমি মল পায়েতে গয়না সোনার গায়েতে
 আরো দেবো নাকের নোলক মান তুমি করো না।।

 চাঁদের সাথে নিত্যরাতে তাঁরায় কথা কয়
 আপনজনা পর হইলে তাও কী প্রানে সয়।

একটু খানি আসনা কাছে এসে বসো না
 এনে দেবো রেশমি চুড়ি মান তুমি করো না।।';'আব্দুল আলীম';'পল্লীগীতি';'0'
'এই যে দুনিয়া';'এই যে দুনিয়া কিসের লাগিয়া
 এত যত্নে গড়াইয়াছেন সাঁই

ছায়া বাজী পুতুল রূপে বানাইয়া মানুষ।
 যেমনি নাচাও তেমনি নাচি পুতুলের কি দোষ।
 যেমনি নাচাও তেমনি নাচি।
 তুমি খাওয়াইলে আমি খাই আল্লাহ।

তুমি বেস্ত তুমি দোজখ তুমি ভাল মন্দ
 তুমি ফুল তুমি ফল তুমি তাতে গন্ধ।
 আমার মনে এই আনন্দ।
 কেবল আল্লাহ তোমায় চাই আমি।

তুমি হাকিম হইয়া হুকুম কর পুলিশ হইয়া ধর
 সর্প হইয়া দংশন কর ওঝা হইয়া ঝাড়
 তুমি বাঁচাও তুমি মার।
 তুমি বীনে কেহ নাই আল্লাহ, তুমি বীনে কেহ নাই।।';'আব্দুল আলীম';'পল্লীগীতি';'0'
'মেঘনার কূলে ঘর বান্ধিলাম বড় আশা করে';'(কোনদিন ঘর বাইন্দোনা মেঘনার চরে আমীরকে সে এক পলকে পথের ফকির করে)

মেঘনার কূলে ঘর বান্ধিলাম বড় আশা করে
 সে ঘর আমার ভাইঙ্গা গেল সর্বনাশা ঝড়ে রে
 মেঘনার সর্বনাশা ঝড়ে

এই ঘরে মোর ছেইলা মাইয়া
 থাইকা গেছে দেখি চাইয়া রে।

আমি আজো তাদের খুইজা বেড়াই নদীর চরে চরে
 মেঘনা নদীর চরে চরে।।

সর্বহারা হইলাম তবু শেষ হইল না আশা
 আমার আমি ঘর বান্ধিলাম *** দুরাশা

আবার যখন বান ডাকিল আমার সব ভাসাইয়া নিল রে।
 আমি একলা এখন ঘুইড়া বেড়াই
 চোখের পানি ঝরেরে আমার, চোখের পানি ঝরে।।';'আব্দুল আলীম';'পল্লীগীতি';'0'
'আর কতকাল ভাসবো আমি';'আর কতকাল ভাসবো আমি
 দুঃখের সারী গাইয়া
 জনম গেল ঘাটে ঘাটে আমার
 জনম গেল ঘাটে ঘাটে
 ভাঙা তরী বাইয়া রে আমার
 ভাঙ্গা তরী বাইয়া।।

পরের বোঝা বইয়া বইয়া
 নৌকার গলুই গেছে খইয়ারে।
 আমার নিজের বোঝা কে বলিবে রে।
 রাখবো কোথায় যাওয়ারে আমি
 রাখবো কোথায় যাওয়া।।

এই জীবনে দেখলাম নদীর
 কতই ভাঙা গড়া
 আমার দেহতরী ভাঙলো শুধু
 না জাগিলো চড়া

আমার ভবে কেউ কি আছে
 দুঃখ কবো তাহার কাছে রে
 আমি রইলাম শুধু দয়াল আল্লাহ রে
 আমি রইলাম শুধু দয়াল আল্লাহ
 তোমার পানে চাইয়া রে
 আমি তোমার পানে চাইয়া।।';'আব্দুল আলীম';'আব্দুল আলীম';'0'
'আমার প্রানের প্রান পাখি';'আমার প্রানের প্রান পাখি
 আমার হিরামন পাখি
 তোরে কোথায় রাখি
 পাখিরে সবই মিছে আর ফাঁকি।।

পাখিরে .রে রে..এ..এ..
 এক পলকের নাই ভরসা
 মিছে সকল আশা…..
 কখন জানি দারুন ঝড়ে।
 ভাঙবে স্বাদের বাসা.. পাখিরে।

ও পাখিরে .রে রে..এ..এ..
 কোন বনেরই পাখি তুমি
 যাইবা রে কোন বনে
 সে কথা কি গেছ ভুলে।
 পরে না কি মনে … পাখিরে।।

ও পাখিরে .রে রে..এ..
 মিছা মায়ায় বন্দি হইয়া
 কর কত খেলা
 পশ্চিমে তাকাইয়া দেখ।
 ডুইবা আইলো বেলা…. পাখিরে।।';'আব্দুল আলীম';'সিরাজুল ইসলাম';'0'
'প্রেমের মরা জলে ডুবে না';'প্রেমের মরা জলে ডুবে না
 তুমি সুজন দেইখা কইরো পিরিত
 মইলে যেন ভুলে না দরদী।।

প্রেম কইরাছে আইয়ুব নবী
 যার প্রেমে রহিমা বিবি গো।
 তাঁরে আঠাঁর সাল কিরায় খাইলো
 আঠাঁর সাল, তাঁরে আঠাঁর সাল করায় খাইলো
 তবু রহিমা ছাড়লো না দরদী।।

ও প্রেম করতে দুইদিন ভাংতে একদিন
 ওমন প্রেম কইরো না দরদী।।

প্রেম কইরাছে ইছুব নবী
 যার প্রেমে জুলেখা বিবি গো।
 ও সে প্রেমের দায়ে জেল খাটিল
 প্রেমের দায়ে ও সে প্রেমের দায়ে জেল খাটিল
 তবুও সে প্রেম ছাড়লো দরদী।।

প্রেম কইরাছে মুসা নবী
 যার প্রেমে দুনিয়ার খুজি।
 হায়রে পাহাড় জ্বলে সুরমা হইল
 পাহাড় জ্বলে, হায়রে পাহাড় জ্বলে সুরমা হইল
 তবুও মুসা জ্বললো না দরদী।।';'আব্দুল আলীম';'পল্লীগীতি';'0'
'হলুদিয়া পাখি, সোনারই বরণ';'হলুদিয়া পাখি, সোনারই বরণ
 পাখিটি ছাড়িল কে
 পাখিটি ছাড়িল কে রে আমার
 পাখিটি ছাড়িল কে।

কেউ না জানিল, কেউ না দেখিল,
 কেমনে পাখি দিয়াছে ফাঁকি
 উইড়া গেল হায় চোখের পলকে
 পাখিটি ছাড়িল কে।।

সোনার পিঞ্জিরা শূণ্য করিয়া
 কোন বনে পাখি গেল যে উড়িয়া।
 পিঞ্জিরার জোড়া খুলিয়া খুলিয়া
 ভাইঙ্গা পড়ে সেই না পাখির শোকে।।

সবই যদি ভুলে যাবি রে পাখি
 কেন তবে হায় দিলি রে আশা
 উইড়া যদি যাবি ওরে ও পাখি
 কেন বাইন্ধা ছিলি বুকেতে বাসা।

কত না মধুর গান শুনাইয়া
 গেলিরে শেষে কেন কান্দাইয়া
 তোমারে স্মরিয়া দুখের দরিয়া
 উথলি উঠে হায় পাগলের চোখে।।';'আব্দুল আলীম';'সিরাজুল ইসলাম';'0'
'সর্বনাশা পদ্মা নদী তোর কাছে শুধাই';'সর্বনাশা পদ্মা নদী তোর কাছে শুধাই
 বল আমারে তোর কি রে আর
 কুল কিনারা নাই, কুল কিনারা নাই
 ও নদীর কুল কিনারা নাই।।

পাড়ির আশায় তাড়াতাড়ি
 সকাল বেলা ধরলাম পাড়ি
 আমার দিন যে গেল সন্ধ্যা হলো
 তবু না কুল পাই।।

পদ্মারে তোর তুফান দেইখা
 পরান কাঁপে ডরে
 ফেইলা আমায় মারিসনা তোর
 সর্বনাশা ঝড়ে।

একে আমার ভাঙ্গা তরী
 মাল্লা ছয়জন শল্লা করি
 আমার নায়ে দিল কুড়াল মারি
 কেমনে পাড়ে যাই।।';'আব্দুল আলীম';'আব্দুল লতিফ';'0'
'প্রাণ সখিরে ঐ শোন কদম্বতলে বংশী বাজায় কে';'প্রাণ সখিরে
 ঐ শোন কদম্বতলে বংশী বাজায় কে।
 বংশী বাজায় কে রে সখি, বংশী বাজায় কে।।
 আমার মাথার বেনী খুইলা দিমু
 তারে আনিয়া দে ।

যে পথ দিয়ে বাজায় বাঁশী
 যে পথ দিয়ে যায়
 সোনার নুপুর পরে পায়।।
 আমার নাকের বেসর তুইলা দেবো সেইনা পথের গায়
 আমার গলার হার ছড়িয়ে দেবো সেইনা পথের গায়
 যদি হার জড়িয়ে পরে পায়
 প্রান সখিরে 

যার বাশী এমন সে বা কেমন
 জানিস যদি বল সখি করিস না কো ছল
 আমার মন বড় চঞ্চল
 আমার প্রান বলে তার বাঁশী জানে আমার চোখের জল
 আমার মন বলে তার বাঁশী জানে আমার চোখের জল
 প্রাণ সখিরে 

তরলা বাশের বাঁশী ছিদ্র গোটা ছয়
 বাঁশী কতই কথা কয়
 নাম ধরিয়া বাজায় বাঁশী রহনও না যায়
 ঘরে রহনও না যায়
 প্রান সখিরে………';'ফেরদৌসী রহমান';'জসিম উদ্দিন';'0'
'ও আমার দরদী আগে জানলে';'ও আমার দরদী, আগে জানলে
 তোর ভাঙ্গা নৌকায় চড়তাম না।
 ভাঙ্গা নৌকায় চড়তাম না
 আর ঐ দূরের পাড়ি ধরতাম না

তোর নব লাগ পা নিজের বেশা
 ঐ নায়ে বোঝাই করতাম না।।

ছিল সোনার দাড় পবনের বৈঠা
 ময়ূরপঙ্খী নাও খানা
 ওরে চন্দ্র সূরুজ গোলায় ভরি
 ফুল ছড়াতো জোছনা।।

শো শো শো দরিয়াতে তুলে ঢেউ
 এই তুফানেতে কেউ গাঙ পাড়ি দিও না
 বেসম দইরার পানি দেইখ্যা ভয়েতে প্রান বাঁচে না।।

লবঙ্গ লতিকার দেশে যাবার ছিল বাসনা
 মাঝ দরিয়ায় নাও ডুবিল
 উপায় কী তার বল না।।

কল কল ছল ছল করে জল টলমল
 আগে চল আগে চল নাই বল তবু চল
 ওরে মাঝি তুই কেন হলি আজ বিমনা
 সামনে নাচে বিজলী লয়ে কন্যা সোনার বরণা।।';'নির্মলেন্দু চৌধুরী';'জসীম উদ্দীন';'0'
'যে জন প্রেমের ভাব জানে না';'যে জন প্রেমের ভাব জানে না
 তার সঙ্গে নাই লেনা-দেনা
 খাঁটি সোনা ছাড়িয়া যে নেয় নকল সোনা
 সে জন সোনা চেনে না।।

কুটা কাঁটায় মানিক পাইল রে
 অথৈ পানিতে ফেলিয়া দিল রে
 সাত রাজার ধন মানিক হারিয়া
 কুটা কাঁটার মন যে মানে না।।

উল্লুকের থাকিতে রে নয়ন
 না দেখে সে রবির কিরণ
 কি কব দুষ্কের কথা
 সে জন ভাব জানে না।।

পিঁপড়া বোঝে চিনির দাম
 ও বানিয়ায় চিনে সোনা
 মাটির প্রেমের মূল্য কে জানে
 ধরায় আছে কয় জনা।।';'ফেরদৌসী রহমান';'পল্লীগীতি';'0'
'আমার মনের আগুন জ্বলে দ্বিগুণ তোমারে না পাইয়া';'আমার মনের আগুন জ্বলে দ্বিগুণ তোমারে না পাইয়া
 পিরিতি শিখাইয়া কান্দাইয়া গেলা ফিরা তো আর আইলানা
 বন্ধু ফিরা তো আর আইলানা।।

পাশানে বান্ধিয়া হিয়া —-
 সব নিল কাহাড়িয়া । 

তুমি কোন পরানে আছ বন্ধু
 কোন পরানে এ আছ বন্ধু
 থোইয়া গেলা না
 পিরিতি শিখাইয়া কান্দাইয়া গেলা ফিরা তো আর আইলানা
 বন্ধু ফিরা তো আর আইলানা।।

মনের ঘরে দাগা দিয়া
 বন্ধু গেলা চলিয়া ।
 আমার আশার তরী আশায় রইল
 আশার তরী আশায় রইল
 তুমি বাইলানা
 পিরিতি শিখাইয়া কান্দাইয়া গেলা ফিরা তো আর আইলানা
 বন্ধু ফিরা তো আর আইলানা।।';'মুজিব পরদেশী';'মুজিব পরদেশী';'0'
'আমার সোনা বন্ধুরে তুমি কোথায় রইলা রে';'আমার সোনা বন্ধুরে তুমি কোথায় রইলা রে।
 দিনে রাইতে তোমায় আমি
 দিনে রাইতে তোমায় আমি খুইজা মরি রে।।

প্রথম দেখার কালে বন্ধু কথা দিয়েছিলে
 ভুলিবে না মোরে এ জীবন গেলে।।
 যদি না পাই তোমারে আমার জীবনের তরে
 সোনার জীবন আঙ্গার হইব।।
 তোমার লাইগা রে । 

ভুলতে পার বন্ধু তুমি আমি ভুলি নাই
 পর কালে যেন বন্ধু
 মরন কালে যেন বন্ধু একবার তোমায় পাই।
 যদি না পাই সে কালে প্রেম যাইব বিফলে
 তখন কিন্তু বলব আমি , তখন কিন্তু বলব আমি
 প্রেম কিছুই না রে ।।';'মুজিব পরদেশী';'মুজিব পরদেশী';'0'
'আমি কেমন করে পত্র লিখি গো বন্ধু';'আমি কেমন করে পত্র লিখি গো বন্ধু
 গ্রাম পোস্ট অফিস নাই জানা
 তোমায় আমি হলেম অচেনা

বন্ধুরে হইতা যদি দেশের দেশী
 ঐ চরণে হইতাম দাসীরে
 আমি দাসী হইয়া সঙ্গে যাইতাম রে বন্ধু
 শুনতামনা কারো মানা

বন্ধুরে শুইলে না আসে রে নিদ্রা
 ক্ষণে ক্ষণে আসে তন্দ্রা গো
 আমি স্বপন দেখে জেগে উঠি রে বন্ধু
 কেন্দে ভিজাই বিছানা';'মুজিব পরদেশী';'মুজিব পরদেশী';'0'
'প্রাণ সখিরে';'প্রাণ সখিরে
 ঐ শোন কদম্ব তলে বংশী বাজায় কে

বংশী বাজায় কে রে সখী
 বংশী বাজায় কে।

আমার মাথার বেনী বদল দেব
 তারে আইনা দে।

যে পথ দিয়ে বাজায় বাঁশি
 যে পথ দিয়ে যায়।
 সোনার নুপূর পরে পায়
 আমার নাকের বেতর খুইলা দেব
 সেই না পথের গায়
 আমার গলার হার ছড়িয়ে দেব
 সেই না পথের গায়
 যদি হার জড়িয়ে পড়ে পায়।।

যার বাঁশি এমন সে বা কেমন
 জানিস যদি বল
 সখি করিস নাকো ছল
 আমার মন বড় চঞ্চল

আমার প্রাণ বলে তার বাঁশি জানে
 আমার চোখের জল
 আমার মন বলে তার বাঁশি জানে
 আমার চোখের জল।।

সরলা বাঁশের বাঁশি ছিদ্র গোটা ছয়
